Regulon,Size,NES,p.value,FDR,TF
EMX1,171,-4.7,2.57e-6,0.00552,EMX1
PRDM16,153,-4.55,5.47e-6,0.00552,PRDM16
FOXD1,225,-4.46,8.19e-6,0.00552,FOXD1
PSD2,139,-4.43,9.47e-6,0.00552,PSD2
NTSR2,38,-4.41,1.03e-5,0.00552,NTSR2
HOXC6,130,-4.38,1.2e-5,0.00581,HOXC6
ONECUT2,286,-4.26,2.05e-5,0.00747,ONECUT2
SSTR5,246,-4.25,2.18e-5,0.00747,SSTR5
HMX3,116,-4.22,2.46e-5,0.00756,HMX3
TBC1D8,427,-4.18,2.96e-5,0.00791,TBC1D8
HOXC9,55,-4.16,3.17e-5,0.00791,HOXC9
HOXC11,50,-4.14,3.46e-5,0.00803,HOXC11
TP73,236,-4.1,4.14e-5,0.00894,TP73
DRGX,74,-4.09,4.34e-5,0.00894,DRGX
SOX30,201,-4.08,4.51e-5,0.00894,SOX30
SOX13,355,-4.03,5.57e-5,0.00905,SOX13
HOXC4,106,-3.98,6.86e-5,0.00905,HOXC4
CYP27B1,199,-3.98,6.79e-5,0.00905,CYP27B1
FGF8,62,-3.97,7.07e-5,0.00905,FGF8
SOX8,141,-3.96,7.55e-5,0.00905,SOX8
HTR1D,355,-3.96,7.4e-5,0.00905,HTR1D
ZSCAN4,38,-3.95,7.95e-5,0.00905,ZSCAN4
ETV5,284,-3.93,8.52e-5,0.00909,ETV5
ZNF470,197,3.93,8.43e-5,0.00909,ZNF470
LHX5,35,3.94,8e-5,0.00905,LHX5
PITX2,194,3.94,8.01e-5,0.00905,PITX2
MS4A15,69,3.94,8.14e-5,0.00905,MS4A15
DLX6,70,3.95,7.72e-5,0.00905,DLX6
REN,118,3.96,7.4e-5,0.00905,REN
ACSL6,303,3.97,7.29e-5,0.00905,ACSL6
GABRR1,47,3.98,6.99e-5,0.00905,GABRR1
TSPAN6,392,3.98,7e-5,0.00905,TSPAN6
TFCP2L1,254,4.01,5.98e-5,0.00905,TFCP2L1
TG,160,4.01,6.12e-5,0.00905,TG
KHDRBS3,311,4.03,5.51e-5,0.00905,KHDRBS3
ONECUT1,25,4.04,5.29e-5,0.00905,ONECUT1
GRM8,263,4.05,5.13e-5,0.00905,GRM8
HUNK,346,4.07,4.8e-5,0.00905,HUNK
POU4F1,62,4.08,4.52e-5,0.00894,POU4F1
PRDM13,58,4.15,3.26e-5,0.00791,PRDM13
PTPRO,233,4.17,2.99e-5,0.00791,PTPRO
CALCA,47,4.21,2.55e-5,0.00756,CALCA
VAV3,531,4.24,2.24e-5,0.00747,VAV3
SATB2,486,4.28,1.87e-5,0.00747,SATB2
PTPRD,354,4.35,1.34e-5,0.00596,PTPRD
RNF43,470,4.44,8.95e-6,0.00552,RNF43
RAB32,334,4.51,6.46e-6,0.00552,RAB32
AXIN2,394,4.51,6.56e-6,0.00552,AXIN2
SOX1,58,4.56,5.23e-6,0.00552,SOX1
EN2,71,4.75,2.06e-6,0.00552,EN2
